80, 3882 1 4007 154 3.450918 0.749186 0.021679 0.24878;
81, 5509 1 5634 154 8.74276 0.749186 0.021679 0.24878;
82, 5134 1 5258 154 7.523067 0.749186 0.021505 0.24878;
83, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
84, 4382 1 4507 154 5.077176 0.749186 0.021679 0.24878;
85, 4007 1 4131 153 3.857482 0.749186 0.021505 0.247154;
86, 5635 1 5759 154 9.152576 0.749186 0.021505 0.24878;
87, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
88, 4883 1 5008 154 6.706685 0.749186 0.021679 0.24878;
89, 4508 1 4632 154 5.486992 0.749186 0.021505 0.24878;
90, 4132 1 4257 153 4.264047 0.749186 0.021679 0.247154;
91, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
92, 5008 154 5133 307 7.11325 0.250814 0.021679 0.24878;
93, 4633 154 4758 241 5.893557 0.358306 0.021679 0.141463;
94, 5634 154 5759 241 9.149324 0.358306 0.021679 0.141463;
95, 5134 154 5259 274 7.523067 0.302932 0.021679 0.195122;
96, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
97, 4257 154 4382 241 4.670611 0.358306 0.021679 0.141463;
98, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
99, 5634 209 5759 307 9.149324 0.159609 0.021679 0.15935;
100, 5259 154 5384 241 7.929631 0.358306 0.021679 0.141463;
101, 5259 154 5509 187 8.134539 0.446254 0.043358 0.053659;
102, 5009 121 5258 154 7.318158 0.553746 0.043184 0.053659;
103, 5259 209 5384 307 7.929631 0.159609 0.021679 0.15935;
104, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
105, 5009 275 5258 307 7.318158 0.052117 0.043184 0.052033;
106, 4758 154 4883 274 6.300121 0.302932 0.021679 0.195122;
107, 4883 154 5008 307 6.706685 0.250814 0.021679 0.24878;
108, 4508 154 4633 208 5.486992 0.410423 0.021679 0.087805;
109, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
110, 4758 154 5008 187 6.505029 0.446254 0.043358 0.053659;
111, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
112, 4883 274 5008 307 6.706685 0.055375 0.021679 0.053659;
113, 4633 209 4758 306 5.893557 0.162866 0.021679 0.157724;
114, 4382 154 4507 208 5.077176 0.410423 0.021679 0.087805;
115, 4258 154 4507 187 4.87552 0.446254 0.043184 0.053659;
116, 4007 121 4256 154 4.059138 0.553746 0.043184 0.053659;
117, 4257 209 4382 307 4.670611 0.159609 0.021679 0.15935;
118, 4132 242 4257 307 4.264047 0.107492 0.021679 0.105691;
119, 3756 154 3881 274 3.041101 0.302932 0.021679 0.195122;
120, 3757 154 4006 187 3.24601 0.446254 0.043184 0.053659;
121, 3757 242 3881 307 3.044354 0.107492 0.021505 0.105691;
122, 5509 176 5634 307 8.74276 0.214984 0.021679 0.213008;
123, 5510 274 5759 307 8.947668 0.055375 0.043184 0.053659;
124, 3005 307 3130 460 0.598463 -0.247557 0.021679 0.24878;
125, 2880 308 3005 460 0.191898 -0.250814 0.021679 0.247154;
126, 3006 274 3254 307 0.803371 0.055375 0.043011 0.053659;
127, 2880 274 3004 307 0.191898 0.055375 0.021505 0.053659;
128, 501 176 626 307 -7.545834 0.214984 0.021679 0.213008;
129, 501 274 751 307 -7.340926 0.055375 0.043358 0.053659;
130, 376 176 501 307 -7.952399 0.214984 0.021679 0.213008;
131, 1002 154 1127 307 -5.916324 0.250814 0.021679 0.24878;
132, 1002 274 1252 307 -5.711416 0.055375 0.043358 0.053659;
133, 876 274 1001 307 -6.326141 0.055375 0.021679 0.053659;
134, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
135, 2003 154 2128 307 -2.660557 0.250814 0.021679 0.24878;
136, 2004 275 2253 307 -2.455649 0.052117 0.043184 0.052033;
137, 1878 274 2003 307 -3.067121 0.055375 0.021679 0.053659;
138, 2504 176 2629 306 -1.031047 0.214984 0.021679 0.211382;
139, 2505 274 2754 307 -0.826139 0.055375 0.043184 0.053659;
140, 3130 460 3255 580 1.005027 -0.693811 0.021679 0.195122;
141, 3131 548 3255 613 1.00828 -0.889251 0.021505 0.105691;
